Model,Qtty,Used,Broken,DoP,Old,Stock
RS300,3,3,0,"October, 2014",11.43,0
RS520,1,1,0,"May, 2017",8.85,0
MBP11.1,18,0,14,"July, 2015",10.68,0
E7470,13,2,11,"August, 2016",9.59,0
E7450,4,0,4,"July, 2015",10.64,0
MBP9.2,4,0,4,"July, 2013",12.68,0
D5378,45,2,41,"October, 2017",8.43,0
E205SA,36,0,36,"June, 2016",9.76,0
V3-471G,4,0,4,"May, 2013",12.84,0
S3-391,2,0,2,"May, 2013",12.84,0
MBP8.2,5,0,5,"July, 2012",13.68,0
MacMini,0,0,0,"July, 2012",13.68,0
GL752VW,1,1,0,"January, 2017",9.18,0
D3264,3,0,3,"February, 2018",8.02,0
D3650,2,1,0,"February, 2018",8.02,0
20-3052,1,0,1,"February, 2017",9.09,0
310-20ASR,2,0,2,"March, 2017",8.97,0
df1009d,4,4,0,"October, 2022",3.36,0
iMac10.1,6,0,6,"August, 2011",14.59,0
iMac21.2,1,1,0,"November, 2022",3.29,0
iMac11.2,10,3,7,"August, 2011",14.59,0
iMac12.1,8,0,8,"August, 2011",14.59,0
iMac13.1,1,0,0,"August, 2013",12.59,1
D3420,4,3,0,"March, 2023",3.00,1
MBA10.1_ver1,15,14,0,"June, 2021",4.68,1
MBA10.1_ver2,16,16,0,"June, 2022",3.69,0
MBA10.1_ver3,3,3,0,"November, 2022",3.29,0
MBA10.1_ver4,10,9,0,"March, 2023",2.95,1
MBA10.1_ver5,12,12,0,"July, 2023",2.62,0
MBA10.1_ver6,10,10,0,"November, 2023",2.26,0
D3420,4,3,0,"December, 2023",2.25,1
MBA10.1_ver7,3,3,0,"November, 2023",2.26,0
MBA10.1_ver8,1,0,0,"November, 2023",2.26,1
