Model         Qtty  Used  Broken  DoP             Old    Stock
RS300         3     3     0       October, 2014   11.45  0
RS520         1     1     0       May, 2017       8.87   0
MBP11.1       18    0     14      July, 2015      10.70  0
E7470         13    2     11      August, 2016    9.62   0
E7450         4     0     4       July, 2015      10.67  0
MBP9.2        4     0     4       July, 2013      12.70  0
D5378         45    2     41      October, 2017   8.45   0
E205SA        36    0     36      June, 2016      9.78   0
V3-471G       4     0     4       May, 2013       12.87  0
S3-391        2     0     2       May, 2013       12.87  0
MBP8.2        5     0     5       July, 2012      13.70  0
MacMini       0     0     0       July, 2012      13.70  0
GL752VW       1     1     0       January, 2017   9.20   0
D3264         3     0     3       February, 2018  8.04   0
D3650         2     1     0       February, 2018  8.04   0
20-3052       1     0     1       February, 2017  9.11   0
310-20ASR     2     0     2       March, 2017     8.99   0
df1009d       4     4     0       October, 2022   3.38   0
iMac10.1      6     0     6       August, 2011    14.61  0
iMac21.2      1     1     0       November, 2022  3.32   0
iMac11.2      10    3     7       August, 2011    14.61  0
iMac12.1      8     0     8       August, 2011    14.61  0
iMac13.1      1     0     0       August, 2013    12.61  1
D3420         4     3     0       March, 2023     3.02   1
MBA10.1_ver1  15    14    0       June, 2021      4.70   1
MBA10.1_ver2  16    16    0       June, 2022      3.72   0
MBA10.1_ver3  3     3     0       November, 2022  3.32   0
MBA10.1_ver4  10    9     0       March, 2023     2.97   1
MBA10.1_ver5  12    12    0       July, 2023      2.65   0
MBA10.1_ver6  10    10    0       November, 2023  2.28   0
D3420         4     3     0       December, 2023  2.27   1
MBA10.1_ver7  3     3     0       November, 2023  2.28   0
MBA10.1_ver8  1     0     0       November, 2023  2.28   1
